‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       223	-0.00757757	0.00015329	-0.00596698	0.00788415	
       224	-0.00371214	-0.00081307	-0.00822181	0.01078323	
       225	-0.00177943	0.00047541	-0.00435638	0.00949475	
       226	-0.00274578	0.00530720	-0.00983241	0.01013899	
       227	0.00176389	-0.00016883	0.00595144	-0.00757757	
       228	0.00852839	-0.00210154	0.00530720	-0.01144300	
       229	0.00788415	0.00144177	0.00369660	-0.00854393	
       230	0.00659567	-0.00081307	0.00466296	-0.00371214	
       231	0.00627356	0.00176389	-0.00339002	-0.00339002	
       232	0.00562932	-0.00210154	0.00949475	-0.00467850	
       233	0.00595144	-0.00049095	0.00047541	-0.00500062	
       234	-0.00016883	-0.00016883	0.00434084	-0.00339002	
       235	-0.00016883	-0.00049095	0.00240812	-0.00532274	
       236	-0.00081307	0.00176389	-0.00274578	0.00079753	
       237	-0.00210154	0.00079753	-0.00177943	0.00015329	
       238	-0.00628909	0.00015329	-0.00306790	0.00305236	
       239	-0.00822181	-0.00177943	-0.00403426	0.00079753	
       240	-0.00596698	-0.00371214	-0.00274578	0.00176389	
       241	0.00273024	-0.00274578	0.00208601	-0.00371214	
       242	0.00434084	-0.00049095	-0.00049095	-0.01144300	
       243	0.00208601	-0.00081307	-0.00081307	0.01174958	
       244	-0.00628909	0.00015329	-0.00113519	0.01336018	
       245	0.00015329	0.00047541	-0.00403426	0.00434084	
       246	0.00723991	-0.00177943	-0.00049095	0.00208601	
       247	0.00434084	-0.00081307	-0.00210154	0.00305236	
       248	0.00079753	0.00369660	-0.00403426	0.00756203	
       249	0.00466296	0.00079753	-0.00242366	0.00498508	
       250	0.00273024	0.00047541	-0.00049095	0.00240812	
       251	-0.00371214	-0.01273148	-0.00435638	-0.02561625	
       252	0.00240812	-0.00274578	-0.00049095	-0.00725545	
       253	-0.00854393	-0.00596698	-0.00306790	-0.00532274	
       254	-0.00274578	0.00369660	-0.00177943	-0.00339002	
       255	-0.00596698	-0.00306790	-0.00177943	0.00273024	
       256	-0.00822181	-0.00339002	0.00466296	0.01432654	
       257	-0.00145731	-0.00145731	0.00434084	0.00176389	
       258	-0.01208724	-0.00500062	-0.01240936	-0.01015453	
       259	0.03300945	0.01883621	0.02173528	0.01851409	
       260	0.00756203	-0.00049095	-0.00049095	-0.00500062	
       261	-0.03914526	-0.03366923	-0.02690473	-0.02497201	
       262	-0.01852963	-0.00725545	0.00176389	0.00595144	
       263	-0.00532274	-0.00113519	0.00498508	0.01078323	
       264	-0.00210154	0.00208601	0.00079753	0.00530720	
       265	-0.00339002	0.00176389	-0.00210154	0.00562932	
       266	-0.01047664	0.00111965	-0.00145731	-0.00049095	
       267	0.00144177	0.00949475	-0.00016883	0.00466296	
       268	-0.00661121	0.01110534	0.00015329	0.00337448	
       269	-0.01273148	0.00788415	-0.00274578	0.01013899	
       270	0.00079753	0.00949475	-0.00016883	-0.00822181	
       271	0.00691779	0.01239382	0.00208601	-0.00757757	
       272	0.00981687	0.00208601	0.00176389	-0.00854393	
       273	0.00498508	0.00562932	-0.00339002	-0.00467850	
